"chunk_number","dict_reg_coef","groupKeys","id","name","test_best_historical_mse"
"0","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","6mz82x1l","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545640_chunk0","0.2018792010364736"
"4","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","f4vri1j9","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545644_chunk4","0.4047100435487732"
"0","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","r4yefcmx","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545615_chunk0","0.19551840771319431"
"8","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","bowfjbb0","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545623_chunk8","1.0260139585113526"
"7","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","kv79d8it","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545647_chunk7","1.4528257437319834"
"3","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","uy7gvxau","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545643_chunk3","0.3289806985060825"
"2","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","vt9xxb51","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545617_chunk2","1.082324214778756"
"6","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","iw7p0e9o","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545621_chunk6","0.939921957420246"
"1","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","ywut8n53","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545641_chunk1","2.6261035211579884"
"5","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","g8wq4ege","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545620_chunk5","0.9399524649043448"
"4","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","vpbm2vld","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545619_chunk4","0.382758750348092"
"8","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","uzj7zgwb","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545648_chunk8","1.042487999477533"
"4","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","gug47v6u","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545643_chunk4","0.40237690218802685"
"9","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","w581tc1o","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545649_chunk9","0.3032544095556086"
"7","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","isf5ulu3","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545791_chunk7","1.403200794985966"
"1","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","qgrf5esr","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545616_chunk1","2.54109756884183"
"5","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","k9z30ctk","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545645_chunk5","0.9437929381454176"
"0","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","v4y17lbm","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545639_chunk0","0.2025889455859456"
"6","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","iefjfgkw","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545646_chunk6","0.9848034315184748"
"3","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","wdldws12","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545642_chunk3","0.331850541237334"
"2","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","dlgty2z3","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545642_chunk2","1.0832561691335918"
"7","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","ybil5wj9","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545646_chunk7","1.4528285196816673"
"6","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","096tz4nx","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545620_chunk6","0.9521907635831908"
"0","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","7y1aot85","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545614_chunk0","0.19533020053068528"
"7","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","zv0pp318","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545790_chunk7","1.4059637407026635"
"9","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","66zwm7gn","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545624_chunk9","0.2998556218809972"
"3","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","b5teuynl","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545618_chunk3","0.32577431860410994"
"8","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","1zt9odye","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545622_chunk8","1.0220229373659817"
"6","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","dtjxi95z","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545645_chunk6","1.011033973758637"
"5","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","x2xosnbd","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545619_chunk5","0.9214089924832306"
"5","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","sskkz413","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545644_chunk5","0.9527440891543688"
"1","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","gli6qprj","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545640_chunk1","2.6447487015811175"
"4","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","rgdxbjum","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545618_chunk4","0.3863207508329857"
"2","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","ze0fe3ni","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545616_chunk2","1.0766266515821077"
"8","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","3srx73xv","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545647_chunk8","1.0468845004538558"
"1","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","i5md70a5","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545615_chunk1","2.565965775174438"
"7","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","jc01yrxw","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545789_chunk7","1.406475410140825"
"3","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","kibeef1z","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545617_chunk3","0.32700174742681903"
"9","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","zg4i07e1","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545648_chunk9","0.3045253973056298"
"2","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","ocs9fqij","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545641_chunk2","1.0800357471225657"
"9","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","0qcbm1va","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545623_chunk9","0.29785990639353216"
"5","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","xztyw2lr","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545643_chunk5","0.9414961721592412"
"8","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","v0jtakcr","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545646_chunk8","1.0422677328018226"
"7","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","dcl7amwv","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545645_chunk7","1.4395882137812308"
"9","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","cn1yapho","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545647_chunk9","0.30587827702064474"
"6","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","1ikxephs","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545644_chunk6","0.9801778198715771"
"2","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","vw7ut6qy","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545640_chunk2","1.1112613644763336"
"4","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","o6lyjyvd","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545642_chunk4","0.3949494476075093"
"1","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","kf50gqoc","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545639_chunk1","2.6633652339186904"
"3","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","f4ygfadg","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545641_chunk3","0.3281998340953397"
"0","0.01","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01","l4d0n7pr","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.01_seed1545638_chunk0","0.20230844206024895"
"9","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","vjinv31u","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545622_chunk9","0.30351194506632273"
"8","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","nzf9beh5","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545621_chunk8","1.0224202435836556"
"6","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","el1aunxg","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545619_chunk6","0.9408174350292636"
"1","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","hnzzqgbj","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545614_chunk1","2.552278528707285"
"5","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","ia5mxd1m","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545618_chunk5","0.9204460815298336"
"0","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","ia4obdlz","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545613_chunk0","0.19508332139357515"
"4","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","c3fo6e97","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545617_chunk4","0.38253038767302855"
"2","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","4zxlcp5e","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545615_chunk2","1.076958381053024"
"3","0","group-deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0","4ni0rybn","deeptime_crypto_in105_out15_noise_gaussian_std0_vchunking_benchmarking_dictreg0.0_seed1545616_chunk3","0.32652039963376744"